,prob_id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,0,-1,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0
2,1,-1,0,0,0,0,0,0,0,0,0
3,2,-1,0,0,0,0,0,0,0,0,0
4,2,-1,0,0,0,0,0,0,0,0,0
5,2,1,0,0,0,0,0,0,0,0,0
6,2,1,0,0,0,0,0,0,0,0,0
7,2,1,0,0,0,0,0,0,0,0,0
8,3,-1,0,-1,0,0,0,-1,0,0,0
9,3,0,1,0,1,0,0,0,0,0,0
10,3,-1,1,0,-1,0,0,-1,0,0,0
11,3,0,0,0,0,0,0,0,0,0,-1
12,3,0,0,0,0,0,0,0,0,1,0
13,3,0,0,0,-1,0,-1,0,0,1,0
14,4,0,-1,0,0,0,0,0,0,0,0
15,4,0,-1,0,0,0,0,0,0,0,0
16,4,-1,0,0,0,0,0,0,0,0,0
17,4,-1,-1,1,0,0,0,0,0,0,0
18,5,0,0,0,-1,0,0,-1,0,0,0
19,5,-1,0,1,-1,0,1,-1,0,0,0
20,5,0,0,0,0,1,0,-1,0,0,0
21,5,-1,-1,0,1,0,0,-1,0,0,0
22,5,1,-1,1,0,0,0,0,-1,0,0
23,6,-1,-1,0,0,0,0,0,0,0,0
24,6,1,1,0,0,0,0,0,0,0,0
25,6,-1,0,0,0,0,0,0,0,0,0
26,6,1,1,0,0,0,0,0,0,0,0
27,6,1,0,0,0,0,0,0,0,0,0
28,6,-1,0,0,0,0,0,0,0,0,0
29,7,0,1,0,0,0,0,0,0,0,0
30,7,0,-1,0,0,0,0,0,0,0,0
31,7,0,-1,0,0,0,0,0,0,0,0
32,7,-1,1,0,1,0,0,0,0,0,0
33,8,-1,0,0,0,0,0,0,0,0,0
34,8,-1,-1,0,0,0,0,0,0,0,0
35,9,-1,0,0,0,0,1,0,0,0,0
36,9,-1,-1,-1,-1,1,-1,0,0,0,0
37,9,0,0,1,1,0,1,0,0,0,0
38,9,1,0,0,0,0,0,0,0,0,0
39,9,0,1,1,0,0,0,0,0,0,0
40,9,0,-1,0,-1,0,1,0,0,0,0
41,9,1,-1,1,1,-1,0,0,0,0,0
42,10,0,0,0,0,0,1,1,-1,0,0
43,10,0,0,0,0,-1,1,0,0,0,0
44,10,0,0,0,0,0,1,1,0,0,0
45,10,1,0,1,0,0,0,-1,1,0,0
46,10,0,-1,0,0,0,0,1,0,0,0
47,10,0,0,0,1,0,-1,0,0,0,0
48,10,0,0,1,0,0,-1,0,0,0,0
49,10,0,-1,-1,0,0,1,0,-1,0,0
50,10,0,0,0,-1,0,0,0,0,0,0
51,11,1,-1,1,-1,0,0,0,0,0,0
52,11,1,0,0,-1,0,0,0,0,0,0
53,11,1,-1,1,0,0,0,0,0,0,0
54,12,0,-1,1,0,0,0,0,0,0,0
55,12,0,0,1,0,0,0,0,0,0,0
56,12,1,0,0,0,0,0,0,0,0,0
57,13,-1,0,0,0,0,0,0,0,0,0
58,13,1,0,0,0,0,0,0,0,0,0
59,13,1,0,0,0,0,0,0,0,0,0
60,13,-1,0,0,0,0,0,0,0,0,0
61,13,1,0,0,0,0,0,0,0,0,0
62,13,1,0,0,0,0,0,0,0,0,0
63,13,-1,0,0,0,0,0,0,0,0,0
64,14,1,0,0,-1,0,-1,0,0,0,0
65,14,1,0,-1,0,0,0,-1,0,0,0
66,14,-1,0,1,0,-1,0,0,0,0,0
67,14,-1,0,0,0,0,0,0,0,0,0
68,14,1,0,1,-1,0,0,1,0,0,0
69,14,0,0,0,1,0,0,0,0,0,0
70,14,0,1,1,-1,0,0,0,0,0,0
71,14,0,0,-1,-1,-1,1,0,0,0,0
72,14,-1,1,0,0,0,-1,-1,0,0,0
73,14,0,0,0,0,-1,0,0,0,0,0
74,15,1,0,0,0,0,0,0,0,0,0
75,15,1,0,0,0,0,0,0,0,0,0
76,15,-1,0,0,0,0,0,0,0,0,0
77,15,1,0,0,0,0,0,0,0,0,0
78,15,-1,0,0,0,0,0,0,0,0,0
79,15,1,0,0,0,0,0,0,0,0,0
80,15,-1,0,0,0,0,0,0,0,0,0
81,15,-1,0,0,0,0,0,0,0,0,0
82,15,-1,0,0,0,0,0,0,0,0,0
83,15,1,0,0,0,0,0,0,0,0,0
84,16,-1,0,1,0,0,0,0,0,0,0
85,16,0,0,-1,0,0,0,0,0,0,0
86,16,0,-1,0,0,0,0,0,0,0,0
87,16,-1,1,0,-1,0,0,0,0,0,0
88,16,0,-1,-1,0,0,0,0,0,0,0
89,16,1,0,0,0,0,0,0,0,0,0
90,16,-1,-1,-1,0,0,0,0,0,0,0
91,16,-1,1,1,1,0,0,0,0,0,0
92,16,0,0,0,1,0,0,0,0,0,0
93,16,1,1,0,0,0,0,0,0,0,0
94,17,0,0,-1,0,0,1,0,0,0,0
95,17,0,-1,-1,0,0,0,0,0,0,0
96,17,0,-1,-1,0,1,0,0,0,0,0
97,17,-1,0,0,0,0,0,0,0,0,0
98,17,0,0,0,-1,-1,0,0,-1,0,0
99,17,0,1,1,1,0,0,0,0,0,0
100,17,0,1,0,0,0,-1,0,0,0,0
101,17,0,1,1,-1,0,0,1,0,0,0
102,18,-1,1,0,0,0,0,0,0,0,0
103,18,-1,1,0,0,0,0,0,0,0,0
104,18,-1,0,0,0,0,0,0,0,0,0
105,18,-1,0,0,0,0,0,0,0,0,0
106,18,-1,-1,0,0,0,0,0,0,0,0
107,18,1,-1,0,0,0,0,0,0,0,0
108,19,0,0,-1,0,0,0,0,0,0,0
109,19,-1,0,1,-1,0,0,0,0,0,0
110,19,0,-1,-1,0,0,0,0,0,0,0
111,19,1,0,-1,-1,0,0,0,0,0,0
112,19,0,0,0,1,0,0,0,0,0,0
113,19,0,0,1,0,0,0,0,0,0,0
114,19,-1,-1,1,1,0,0,0,0,0,0
115,20,-1,-1,1,0,0,1,1,-1,0,0
116,20,0,0,0,-1,1,-1,-1,1,0,0
117,20,0,1,0,0,1,1,0,0,0,0
118,20,-1,-1,0,0,0,0,0,0,0,0
119,20,1,0,1,0,0,0,1,0,0,0
120,20,0,0,0,0,0,-1,0,0,0,0
121,21,1,0,1,-1,0,0,0,0,0,0
122,21,1,1,0,-1,0,0,0,0,0,0
123,21,0,1,0,0,0,0,0,0,0,0
124,21,0,1,-1,0,0,0,0,0,0,0
125,21,0,1,0,0,0,0,0,0,0,0
126,21,1,1,-1,-1,0,0,0,0,0,0
127,21,-1,0,0,0,0,0,0,0,0,0
128,21,0,0,-1,1,0,0,0,0,0,0
129,21,-1,0,1,-1,0,0,0,0,0,0
130,22,-1,1,1,1,-1,0,0,0,0,0
131,22,0,0,0,1,0,0,0,0,0,0
132,22,0,0,0,1,0,0,0,0,0,0
133,22,1,-1,0,0,0,0,0,0,0,0
134,22,0,0,-1,1,-1,0,0,0,0,0
135,22,1,1,-1,-1,0,0,0,0,0,0
136,22,-1,0,0,1,0,0,0,0,0,0
137,23,0,0,1,0,1,-1,-1,-1,0,0
138,23,0,-1,-1,0,0,0,0,0,0,0
139,23,0,1,0,1,0,-1,-1,1,0,0
140,23,0,0,0,0,0,0,0,-1,0,0
141,23,0,0,1,1,0,0,-1,0,0,0
142,23,1,-1,1,-1,-1,0,1,0,0,0
143,23,0,0,1,1,0,1,0,0,0,0
144,23,1,0,-1,-1,0,0,1,-1,0,0
145,24,0,0,-1,0,0,0,0,0,0,0
146,24,1,0,0,0,0,0,0,0,0,0
147,24,0,1,0,0,0,0,0,0,0,0
148,24,-1,0,0,0,0,0,0,0,0,0
149,24,0,-1,-1,0,0,0,0,0,0,0
150,24,1,-1,0,0,0,0,0,0,0,0
151,24,-1,0,0,0,0,0,0,0,0,0
152,24,0,1,0,0,0,0,0,0,0,0
153,25,-1,0,0,0,0,0,0,0,1,0
154,25,0,0,0,0,0,1,0,0,-1,0
155,25,0,0,0,1,0,0,0,0,0,0
156,26,-1,1,-1,-1,0,0,-1,-1,0,0
157,26,-1,1,1,0,0,0,0,0,0,0
158,27,0,-1,0,0,0,0,-1,0,0,0
159,28,0,0,0,0,-1,0,0,-1,0,0
160,28,0,0,-1,1,0,-1,0,-1,0,0
161,28,0,0,0,-1,0,-1,0,0,0,0
162,28,0,0,0,0,-1,0,0,0,0,0
163,28,1,0,-1,0,0,1,1,-1,0,0
164,28,0,0,1,0,0,1,-1,1,0,0
165,28,1,0,1,-1,-1,0,0,0,0,0
166,28,0,0,-1,-1,0,0,0,0,0,0
167,28,0,0,0,1,0,0,-1,1,0,0
168,28,0,-1,0,0,0,0,-1,0,0,0
169,29,-1,0,0,0,0,0,0,0,0,0
170,29,0,0,0,0,-1,1,0,0,0,0
171,29,0,0,0,0,1,0,0,0,0,0
172,29,0,0,1,0,0,0,0,0,0,0
173,29,-1,0,1,0,-1,0,0,0,0,0
174,30,0,1,0,0,0,0,0,0,0,0
175,30,0,0,1,0,0,0,0,0,0,0
176,30,1,0,0,0,0,0,0,0,0,0
177,30,1,-1,-1,0,0,0,0,0,0,0
178,30,0,-1,1,0,0,0,0,0,0,0
179,30,-1,0,0,0,0,0,0,0,0,0
180,30,-1,1,1,0,0,0,0,0,0,0
181,30,-1,1,1,0,0,0,0,0,0,0
182,30,0,1,-1,0,0,0,0,0,0,0
183,30,-1,1,0,0,0,0,0,0,0,0
184,31,0,1,0,0,0,0,0,0,0,0
185,31,0,0,1,1,0,0,0,0,0,0
186,31,0,0,1,0,0,0,0,0,0,0
187,31,0,0,0,-1,0,0,0,0,0,0
188,31,0,0,0,-1,0,0,0,0,0,0
189,32,1,1,0,0,0,0,0,0,0,0
190,32,-1,0,0,0,0,0,0,0,0,0
191,32,-1,0,0,0,0,0,0,0,0,0
192,32,-1,0,0,0,0,0,0,0,0,0
193,32,1,1,0,0,0,0,0,0,0,0
194,32,-1,0,0,0,0,0,0,0,0,0
195,32,-1,-1,0,0,0,0,0,0,0,0
